"Case ID","Symptom","Topology notes","Show-command outputs","Expected fault","OSI layer","Concept","Severity"
"CASE-01","PC gets an IP address but cannot reach the server in VLAN 30; gateway ping works.","PC1 in VLAN 10 (192.168.10.10/24) via Switch-A, Server in VLAN 30 (192.168.30.50/24) via Switch-B, connected via Router-1 gig0/0/0.10 and gig0/0/0.30.","show ip interface brief
GigabitEthernet0/0/0.10  192.168.10.1  YES manual UP  up
GigabitEthernet0/0/0.30  192.168.30.1  YES manual UP  up

show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/1       10,20

show access-lists
Extended IP access list VLAN30_FILTER
    10 deny ip 192.168.10.0 0.0.0.255 192.168.30.0 0.0.0.255
    20 permit ip any any","VLAN 30 is missing from trunk allowed list on Switch-A Gi0/1 and denied by ACL VLAN30_FILTER on Router-1.","Layer 3","VLAN","High"
"CASE-02","PC1 in Sales cannot acquire dynamic IP address from router DHCP server.","PC1 connected to Switch-1 FastEthernet0/2 (assigned to VLAN 10). Router-1 configured as DHCP server for pool SALES_POOL (192.168.10.0/24).","show ip dhcp binding
IP address       Client-ID/Hardware address  Expiration         Type

show ip dhcp pool
Pool SALES_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (Current/Total)    : 254 / 254
 Total addresses                : 254
 Leased addresses               : 254
 Pending addresses              : 0
 1 address pool is configured.

show ip interface brief
GigabitEthernet0/0/0.10  192.168.10.1  YES manual UP  up","DHCP pool SALES_POOL has exhausted all 254 IP addresses available for allocation.","Layer 7","DHCP","Critical"
"CASE-03","PC2 cannot reach external domain names like example.com but can ping external IP 8.8.8.8.","PC2 (10.1.1.25/24) configured with default gateway 10.1.1.1 and primary DNS server 10.1.1.250. Switch connected to Router-1.","show ip interface brief
GigabitEthernet0/0  10.1.1.1  YES manual UP  up

show running-config | section dns
ip name-server 10.1.1.250
ip domain lookup

show ip access-lists
Extended IP access list OUTBOUND_FW
    10 permit icmp any any
    20 permit tcp any any eq www
    30 permit tcp any any eq 443
    40 deny udp any any eq domain (53)
    50 permit ip any any","Outbound access list OUTBOUND_FW explicitly denies UDP port 53 (DNS resolution traffic).","Layer 7","DNS","Medium"
"CASE-04","Branch router cannot ping Corporate HQ subnet 172.16.1.0/24 across WAN link.","Branch Router-2 (10.254.1.2/30) connected to HQ Router-1 (10.254.1.1/30). OSPF running between routers.","show ip interface brief
GigabitEthernet0/0/0  10.254.1.2  YES manual UP  up
GigabitEthernet0/0/1  192.168.2.1  YES manual UP  up

show ip route
Codes: C - connected, S - static, O - OSPF
Gateway of last resort is not set
C    10.254.1.0/30 is directly connected, GigabitEthernet0/0/0
C    192.168.2.0/24 is directly connected, GigabitEthernet0/0/1

show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
10.254.1.1        1   2WAY/DROTHER    00:00:33    10.254.1.1      GigabitEthernet0/0/0","OSPF neighbor relationship stuck in 2WAY state due to OSPF MTU mismatch or network type misconfiguration between routers. Missing route to 172.16.1.0/24.","Layer 3","Routing","High"
"CASE-05","Internal host 192.168.1.50 cannot access internet web server; internal gateway ping succeeds.","Edge Router-1 has Gi0/0/0 (inside: 192.168.1.1) and Gi0/0/1 (outside: 203.0.113.2/30). Dynamic NAT configured.","show ip interface brief
GigabitEthernet0/0/0  192.168.1.1    YES manual UP  up
GigabitEthernet0/0/1  203.0.113.2    YES manual UP  up

show ip nat translations
(empty)

show running-config | section nat
ip nat pool INTERNET_POOL 203.0.113.10 203.0.113.10 netmask 255.255.255.252
ip inside source list 100 pool INTERNET_POOL overload
access-list 100 permit ip 192.168.2.0 0.0.255.255

show ip interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Internet address is 192.168.1.1/24
  NBAR protocol discovery is disabled
  Inbound access list is not set","NAT access-list 100 specifies subnet 192.168.2.0/16 instead of host subnet 192.168.1.0/24, failing to match internal traffic for NAT overload translation. Also ip nat inside is missing on Gi0/0/0.","Layer 3","NAT","High"
"CASE-06","Wireless laptops in Conference Room cannot connect to SSID 'Corp-Secure'.","Cisco Lightweight AP-1 connected to Switch-1 Fa0/12. Wireless LAN Controller (WLC-1) managing APs.","show wlan summary
Number of WLANs.................................. 2
WLAN ID  WLAN Profile Name / SSID       Status    Security Policy
1        Guest-Net / Guest-Net          UP        [Open]
2        Corp-Secure / Corp-Secure      DOWN      [WPA2-Enterprise][802.1X]

show ap summary
Number of APs.................................... 1
AP Name           Slots  AP Model          Ethernet MAC       Location          Port  Country  State
AP-1              2      AIR-AP2802I-A-K9  00a0.c811.2233     Conf-Room         1     US       DISCONNECTED","SSID 'Corp-Secure' (WLAN ID 2) is administratively DOWN on WLC, and AP-1 is DISCONNECTED from CAPWAP controller management.","Layer 2","Wireless","Critical"
"CASE-07","Switch SW-2 port Fa0/5 goes into err-disabled state immediately when PC is attached.","PC connected to SW-2 Fa0/5. Port security configured on Fa0/5 with maximum 1 MAC address.","show interfaces FastEthernet0/5 status
Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/5                        err-disabled 20         auto    auto  10/100BaseTX

show port-security interface FastEthernet0/5
Port Security              : Enabled
Port Status                : Secure-shutdown
Violation Mode             : Shutdown
Maximum MAC Addresses      : 1
Total MAC Addresses        : 1
Configured MAC Addresses   : 0
Sticky MAC Addresses       : 1
Last Source Address:Vlan   : 00e0.8f12.3456:20
Security Violation Count   : 1","Port security violation on switch port Fa0/5 caused by host attempting to send frames with unauthorized source MAC address 00e0.8f12.3456.","Layer 2","VLAN","Medium"
"CASE-08","Host PC-3 (192.168.1.15) cannot ping default gateway 192.168.1.1.","PC-3 connected to Switch-1 Fa0/3. Router-1 connected to Switch-1 Gi0/1.","show ip interface brief
GigabitEthernet0/0/0  192.168.1.1  YES manual administratively down  down

show interfaces FastEthernet0/3
FastEthernet0/3 is up, line protocol is up
  Hardware is Fast Ethernet, address is 0010.1122.3344
  MTU 1500 bytes, BW 100000 Kbit/sec, DLY 100 usec
  Encapsulation ARPA, loopback not set
  Full-duplex, 100Mb/s, media type is 10/100BaseTX","Router interface GigabitEthernet0/0/0 is administratively down (missing 'no shutdown' command).","Layer 1","Gateway","High"
"CASE-09","Router-1 and Router-2 static routing failed; PC in 10.0.2.0/24 cannot reach 10.0.1.0/24.","Router-1 (10.0.1.1/24) connected to Router-2 via serial link (192.168.12.1/30 to 192.168.12.2/30).","show ip route
Codes: C - connected, S - static
Gateway of last resort is not set
C    10.0.1.0/24 is directly connected, GigabitEthernet0/0
C    192.168.12.0/30 is directly connected, Serial0/1/0
S    10.0.2.0/24 [1/0] via 192.168.12.5

show ip interface brief
GigabitEthernet0/0  10.0.1.1       YES manual UP  up
Serial0/1/0         192.168.12.1   YES manual UP  up","Static route on Router-1 specifies next-hop IP 192.168.12.5 which is outside the /30 subnet range (valid IPs are 192.168.12.1 and 192.168.12.2). Gateway mismatch.","Layer 3","Routing","High"
"CASE-10","Engineering VLAN 20 hosts cannot communicate with Accounting VLAN 10 hosts through Core Switch.","Layer 3 Switch (3560) configured with SVI for VLAN 10 and VLAN 20. Inter-VLAN routing expected.","show ip interface brief
Vlan10                 192.168.10.1   YES manual UP  up
Vlan20                 192.168.20.1   YES manual UP  up

show running-config | include ip routing
no ip routing

show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   Accounting                       active    Fa0/3, Fa0/4
20   Engineering                      active    Fa0/5, Fa0/6","IP routing is globally disabled ('no ip routing') on the Layer 3 Switch.","Layer 3","VLAN","High"
